policy_number,prem_paid,pmt_date,pmt_mode
1423232332,36,2018-04-28,CSH
1423232333,30,2018-04-29,CC
1423232334,46,2018-04-30,CSH
1423232335,46,2018-05-01,CC
1423232336,31,2018-05-02,CC
1423232337,23,2018-05-03,PN
1423232338,41,2018-05-04,CSH
1423232339,17,2018-05-05,CC
1423232340,44,2018-05-06,CSH
1423232341,16,2018-05-07,CC
1423232342,47,2018-05-08,CC
1423232343,49,2018-05-09,PN
1423232344,42,2018-05-10,CSH
1423232345,38,2018-05-11,CC
1423232346,28,2018-05-12,CSH
1423232347,50,2018-05-13,CC
1423232348,18,2018-05-14,CC
1423232349,42,2018-05-15,PN
1423232350,31,2018-05-16,CSH
1423232351,22,2018-05-17,CC
1423232352,16,2018-05-18,CSH
1423232353,37,2018-05-19,CC
1423232354,22,2018-05-20,CC
1423232355,38,2018-05-21,PN
