policy_number,prem_paid,pmt_date,pmt_mode
1423232332,61,2018-06-16,CSH
1423232333,49,2018-06-17,CSH
1423232334,30,2018-06-18,CSH
1423232335,49,2018-06-19,CC
1423232336,40,2018-06-20,CC
1423232337,48,2018-06-21,PN
1423232338,32,2018-06-22,CSH
1423232339,57,2018-06-23,CC
1423232340,55,2018-06-24,CSH
1423232341,34,2018-06-25,CC
1423232342,66,2018-06-26,CC
1423232343,42,2018-06-27,PN
1423232344,56,2018-06-28,CSH
1423232345,51,2018-06-29,CSH
1423232346,46,2018-06-30,CSH
1423232347,41,2018-07-01,CC
1423232348,65,2018-07-02,CSH
1423232349,46,2018-07-03,PN
1423232350,29,2018-07-04,CSH
1423232351,48,2018-07-05,CC
1423232352,54,2018-07-06,CSH
1423232353,56,2018-07-07,CC
1423232354,26,2018-07-08,CC
1423232355,60,2018-07-09,CSH
